"Health Facility Name","NIN OR HFR","Facility ID","Solar Working Status?",State,District,Block,"Health Facility Type","Mapped Vendor","Top 3 values of Data.facilityCategory.keyword","Open Tickets","Closed Tickets","No of Tickets Logged"
Khasiachuba,1343766489,"FAC/2025/1042",No,Assam,Udalguri,Khoirabari,"Sub Center",ERES,HEALTH,1,0,1
"Khawruhlian SC",KhawruhlianSC,"FAC/2025/2624",Yes,Mizoram,Aizawl,Darlawn,"Sub Center","Krishna Power Solution",HEALTH,1,0,1
Khoda,2876666377,"FAC/2025/2311",Yes,Gujarat,Banaskantha,Tharad,"Sub Center","Renesys Power Systems",HEALTH,1,0,1
Kholagari,IN1110000109,"FAC/2025/2207",Yes,Sikkim,Namchi,Jorethang,"Health and Wellness Center",ERES,HEALTH,1,1,2
Khonjoy,"mg-0182","FAC/2025/1462",No,Meghalaya,Southwestkhasihills,Ranikor,"Primary Health Center",ERES,HEALTH,1,0,1
Khoupum,7258832851,"FAC/2025/1728",Yes,Manipur,Noney,Nungba,"Primary Health Center",MANGAAL,HEALTH,1,4,5
"Khowrang Borigaon",5434174446,"FAC/2025/1085",Yes,Assam,Udalguri,Udalguri,"Sub Center",ERES,HEALTH,1,0,1
"Khuangleng SC",KhuanglengSC,"FAC/2025/2814",Yes,Mizoram,Champhai,Khawbung,"Sub Center","Agni Green Power Ltd",HEALTH,1,1,2
Khurkhul,2836281788,"FAC/2026/7181",Yes,Manipur,ImphalWest,Haorangsabal,"Primary Health Center",MANGAAL,HEALTH,1,1,2
"Kina Borgaon Mini PHC",3653487458,"FAC/2025/0913",No,Assam,Chirang,Sidli,"Mini Primary Health Center","Kirloskar Solar Technology Pvt Ltd",HEALTH,1,5,6
Kindira,8741482239,"FAC/2025/3069",No,Odisha,Sambalpur,Kuchinda,"Sub Center","Onergy Solar",HEALTH,1,2,3
Kiravatti,5245156558,"FAC/2025/4659",Yes,Karnataka,Uttarakannada,Yallapur,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,1,0,1
Koda,8314537831,"FAC/2025/4843",No,Karnataka,Haveri,Rattihalli,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,1,3,4
Kodambal,6872248171,"FAC/2025/5070",Yes,Karnataka,Bidar,Chittaguppa,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,1,2,3
Kogali,5377238372,"FAC/2025/4635",Yes,Karnataka,Vijayanagar,Hagribommanahalli,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,1,1,2
Kohinoor,7776813664,"FAC/2025/5062",Yes,Karnataka,Bidar,Basavakalyan,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,1,0,1
"Kollongpar Haluagaon",8382423278,"FAC/2025/0576",Yes,Assam,Nagaon,Rupahi,"Mini Primary Health Center","Renesys Power Systems",HEALTH,1,0,1
Kolsirsi,1115728220,"FAC/2025/4655",Yes,Karnataka,Uttarakannada,Siddapur,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,1,1,2
"Kolur-Koppal",8437587127,"FAC/2025/3659",Yes,Karnataka,Koppal,Koppal,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,1,0,1
Komlakhong,8626638574,"FAC/2025/1774",Yes,Manipur,"Imphal West",Wangoi,"Health and Wellness Center",MANGAAL,HEALTH,1,1,2
Konankeri,3437228343,"FAC/2025/4898",Yes,Karnataka,Haveri,Shiggaon,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,1,2,3
Kongba,3772567685,"FAC/2025/1814",No,Manipur,Imphaleast,"Keirao Bitra","Health and Wellness Center","SNL Energy Solutions",HEALTH,1,3,4
"Konkal-Gurmithkal",6365828349,"FAC/2025/4532",Yes,Karnataka,Yadgir,Gurmithkal,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,1,7,8
"Konok Khongnangkhong",IN1410000454,"FAC/2025/1793",Yes,Manipur,Imphaleast,"Keirao Bitra","Urban Primary Health Center",MANGAAL,HEALTH,1,1,2
Koodi,3783164340,"FAC/2025/4787",Yes,Karnataka,Kalaburagi,Jevargi,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,1,3,4
Koppar,1521333656,"FAC/2025/5314",Yes,Karnataka,Raichur,Devadurga,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,1,4,5
"Koppar HWC",6638782265,"FAC/2025/5481",Yes,Karnataka,Raichur,Devadurga,"Health and Wellness Center","Selco Solar Light Pvt Ltd",HEALTH,1,0,1
"Korim Bujulighat",8333558735,"FAC/2025/0064",No,Assam,Nalbari,Kamarkuchi,"Mini Primary Health Center","Kirloskar Solar Technology Pvt Ltd",HEALTH,1,0,1
Koroyani,1241525755,"FAC/2025/0575",No,Assam,Nagaon,Kathiatoli,"Mini Primary Health Center","Renesys Power Systems",HEALTH,1,0,1
Korwar,7536168870,"FAC/2025/4808",Yes,Karnataka,Kalaburagi,Chittapur,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,1,2,3
Kotagera,8748335166,"FAC/2025/4528",Yes,Karnataka,Yadgir,Yadgir,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,1,3,4
"Kouta B",4248347553,"FAC/2025/3936",Yes,Karnataka,Bidar,Aurad,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,1,0,1
"Krang Nonglum",17298030806,"FAC/2026/8062",Yes,Meghalaya,EastKhasiHills,Mawphlang,Anganwadi,ERES,ANGANWADI,1,0,1
"Krishna Kittur",3267883621,"FAC/2025/4408",No,Karnataka,Belagavi,Athani,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,1,1,2
Kuchinda,6713634845,"FAC/2025/3065",No,Odisha,Sambalpur,Kuchinda,"Sub Divisional Hospital","Onergy Solar",HEALTH,1,0,1
Kudapali,7112263160,"FAC/2025/4846",Yes,Karnataka,Haveri,Hirekeroor,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,1,3,4
Kuhura,3328247733,"FAC/2025/3063",Yes,Odisha,Kalahandi,Golamunda,"Sub Center","Onergy Solar",HEALTH,1,0,1
Kukanapalli,8832413762,"FAC/2025/4743",No,Karnataka,Koppal,Koppal,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,1,2,3
Kukkehalli,3648816423,"FAC/2025/3318",Yes,Karnataka,Udupi,Udupi,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,1,1,2
Kulang,"mg-0385","FAC/2025/1261",No,Meghalaya,Southwestkhasihills,Ranikor,"Health and Wellness Center",ERES,HEALTH,1,0,1
"Kulikawn SC",KulikawnSC,"FAC/2025/2853",Yes,Mizoram,Aizawl,Tlangnuam,"Sub Center","Krishna Power Solution",HEALTH,1,0,1
Kulundi,1111348312,"FAC/2025/3059",No,Odisha,Sambalpur,Rengali,"Primary Health Center","Onergy Solar",HEALTH,1,0,1
Kumarikata,1115261784,"FAC/2025/0904",Yes,Assam,Baksa,Tamulpur,"State Dispensary",ERES,HEALTH,1,0,1
Kumbi,3183382443,"FAC/2026/7186",Yes,Manipur,Bishnupur,Moirang,"Primary Health Center",MANGAAL,HEALTH,1,0,1
Kumkhal,5386383367,"FAC/2025/3057",No,Odisha,Kalahandi,Lanjigarh,"Sub Center","Balaji Solar Systems",HEALTH,1,0,1
Kuntagalale,6163238881,"FAC/2025/6071",Yes,Karnataka,Shivamogga,Soraba,"Health and Wellness Center","Glow Power Technologies",HEALTH,1,0,1
"Kuntoji-Muddebihal",5452115727,"FAC/2025/3426",No,Karnataka,Vijayapura,Muddebihal,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,1,0,1
"Kuntoji-Ron",8687471139,"FAC/2025/3848",Yes,Karnataka,Gadag,Ron,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,1,0,1
Kuntra,3432686768,"FAC/2025/3056",Yes,Odisha,Sambalpur,Kuchinda,"Community Health Center","Onergy Solar",HEALTH,1,0,1
Kuppelur,6445442822,"FAC/2025/4845",Yes,Karnataka,Haveri,Ranebennur,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,1,4,5
Kurakunda,1114365628,"FAC/2025/5354",Yes,Karnataka,Raichur,Manvi,"Health and Wellness Center","Selco Solar Light Pvt Ltd",HEALTH,1,0,1
Kurtakoti,1888124466,"FAC/2025/4933",Yes,Karnataka,Gadag,Gadag,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,1,3,4
Kusanal,5213713224,"FAC/2025/4373",Yes,Karnataka,Belagavi,Athani,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,1,1,2
Kusumi,2648735468,"FAC/2025/3055",No,Odisha,Sambalpur,Kuchinda,"Primary Health Center","Onergy Solar",HEALTH,1,0,1
Kutakanakeri,4846236182,"FAC/2025/4130",No,Karnataka,Bagalkote,Badami,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,1,0,1
Kutarimal,1512535640,"FAC/2025/3054",No,Odisha,Sambalpur,Kuchinda,"Sub Center","Onergy Solar",HEALTH,1,0,1
Kuthori,5133252261,"FAC/2025/0574",Yes,Assam,Nagaon,Kaliabor,"Mini Primary Health Center","Renesys Power Systems",HEALTH,1,0,1
Kydigera,7771775371,"FAC/2025/5325",Yes,Karnataka,Raichur,Devadurga,"Health and Wellness Center","Selco Solar Light Pvt Ltd",HEALTH,1,6,7
"Kynjoin Umran","mg-0424","FAC/2025/1224",Yes,Meghalaya,Ribhoi,Umsning,"Health and Wellness Center",ERES,HEALTH,1,0,1
Kynrud,"mg-0509","FAC/2025/1140",No,Meghalaya,Westkhasihills,Mairang,"Primary Health Center",MANGAAL,HEALTH,1,0,1
Kyrdemkulai,"mg-0425","FAC/2025/1223",No,Meghalaya,Ribhoi,Umsning,"Health and Wellness Center",ERES,HEALTH,1,2,3
"L K Doddi",7466318347,"FAC/2025/5392",Yes,Karnataka,Raichur,Raichur,"Health and Wellness Center","Selco Solar Light Pvt Ltd",HEALTH,1,4,5
"L Khengjang",1824276487,"FAC/2025/1852",Yes,Manipur,Churachandpur,Henglep,"Sub Center","SNL Energy Solutions",HEALTH,1,1,2
"LBS Nagar",2445854439,"FAC/2025/5494",No,Karnataka,Raichur,Raichur,"Urban Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,1,5,6
Lachung,IN1110000092,"FAC/2025/2179",No,Sikkim,Northsikkim,Lachung,"Health and Wellness Center",ERES,HEALTH,1,1,2
Lachyan,2272411527,"FAC/2025/4573",Yes,Karnataka,Vijayapura,Indi,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,1,2,3
Ladmawphlang,"mg-0343","FAC/2025/1301",Yes,Meghalaya,Eastkhasihills,Laitkroh,"Health and Wellness Center",ERES,HEALTH,1,0,1
Ladugaon,7876523734,"FAC/2025/3051",Yes,Odisha,Kalahandi,Koksara,"Primary Health Center","Onergy Solar",HEALTH,1,1,2
Laida,8557578336,"FAC/2025/3050",No,Odisha,Sambalpur,Rengali,"Community Health Center","Onergy Solar",HEALTH,1,1,2
Laitkor,"mg-0190","FAC/2025/1454",No,Meghalaya,Eastkhasihills,Mawryngkneng,"Health and Wellness Center",ERES,HEALTH,1,0,1
Lakalkatti,8657371830,"FAC/2025/3846",Yes,Karnataka,Gadag,Ron,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,1,0,1
"Lakhuni PHC",IN1310000529,"FAC/2025/1975",Yes,Nagaland,Mokokchung,Mangkolemba,"Primary Health Center","A and D Solar",HEALTH,1,1,2
Lakkundi,1667435885,"FAC/2025/4910",Yes,Karnataka,Gadag,Gadag,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,1,0,1
Lamaten,IN1110000205,"FAC/2025/2177",Yes,Sikkim,Pakyong,Regu,"Health and Wellness Center",ERES,HEALTH,1,4,5
"Lampongsheanglah SC",IN1310000712,"FAC/2025/6219",Yes,Nagaland,Mon,Mon,"Sub Center",MANGAAL,HEALTH,1,1,2
"Lanjigarh Road SC",2468785353,"FAC/2025/3046",Yes,Odisha,Kalahandi,Lanjigarh,"Sub Center","Balaji Solar Systems",HEALTH,1,2,3
Laokhao,IN1310000726,"FAC/2026/7121",Yes,Nagaland,Mon,Tizit,"Sub Center",MANGAAL,HEALTH,1,0,1
Lariapali,1383221155,"FAC/2025/3045",No,Odisha,Sambalpur,Jamankira,"Sub Center","Onergy Solar",HEALTH,1,0,1
Lawbyrtun,"mg-0414","FAC/2025/1234",No,Meghalaya,Westkhasihills,Mawthadraishan,"Health and Wellness Center",ERES,HEALTH,1,0,1
Lawjan,8248656814,"FAC/2025/0569",No,Assam,Darrang,Sipajhar,"Primary Health Center","Renesys Power Systems",HEALTH,1,0,1
"Lawngtlai SC",LawngtlaiSC,"FAC/2025/2668",No,Mizoram,Lawngtlai,Lawngtlai,"Sub Center","Krishna Power Solution",HEALTH,1,0,1
Leisang,8416817438,"FAC/2025/1850",No,Manipur,Churachandpur,Samulamlan,"Sub Center","SNL Energy Solutions",HEALTH,1,0,1
"Lima      ",3812674772,"FAC/2026/10448",Yes,Odisha,Koraput,Kundra,"Sub Center","Onergy Solar",HEALTH,1,0,1
Linganur,4575846425,"FAC/2025/5215",Yes,Karnataka,Bagalkote,Jamkhandi,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,1,4,5
Lingdong,IN1110000044,"FAC/2025/2128",No,Sikkim,NorthSikkim,HeegyathangLowerDzongu,"Health and Wellness Center",ERES,HEALTH,1,0,1
"Lingi Pakyong",IN1110000114,"FAC/2025/2210",Yes,Sikkim,Namchi,Yangang,"Health and Wellness Center",ERES,HEALTH,1,2,3
Lingthem,IN1110000045,"FAC/2025/2112",Yes,Sikkim,NorthSikkim,Dzongeu,"Health and Wellness Center",ERES,HEALTH,1,0,1
"Lirmen HWC",IN1310000525,"FAC/2025/1983",Yes,Nagaland,Mokokchung,Longchem,"Health and Wellness Center","A and D Solar",HEALTH,1,2,3
Longchai,2587815430,"FAC/2025/1646",No,Manipur,Tamenglong,Tamei,"Health and Wellness Center","SNL Energy Solutions",HEALTH,1,0,1
"Longsa PHC",IN1310000496,"FAC/2025/1974",Yes,Nagaland,Mokokchung,"Ongpangkong North","Primary Health Center","A and D Solar",HEALTH,1,0,1
Lorimukh,6822864424,"FAC/2025/0564",Yes,Assam,Nagaon,Laokhowa,"Primary Health Center","Renesys Power Systems",HEALTH,1,0,1
"Lower Bering",IN1110000167,"FAC/2025/2172",Yes,Sikkim,Pakyong,Singtam,"Health and Wellness Center",ERES,HEALTH,1,2,3
"Lower Kamrang",IN1110000066,"FAC/2025/2227",Yes,Sikkim,Namchi,Namchi,"Health and Wellness Center",ERES,HEALTH,1,0,1
"Lower Sambrak","mg-0495","FAC/2025/1154",No,Meghalaya,Northgarohills,Kharkutta,"Health and Wellness Center",ERES,HEALTH,1,0,1
"Lungchhuan SC",LungchhuanSC,"FAC/2025/2545",Yes,Mizoram,Serchhip,"East lungdar","Sub Center Delivery","Agni Green Power Ltd",HEALTH,1,2,3
Lungpuizawl,lungpuizawl,"FAC/2025/5811",Yes,Mizoram,Lunglei,Lunglei,"Health Clinic","Agni Green Power Ltd",HEALTH,1,0,1
"Lungtian SC",3714878315,"FAC/2025/5728",No,Mizoram,Lawngtlai,"Bungtlang S","Sub Center","Krishna Power Solution",HEALTH,1,0,1
"Luvana PHC",4426827459,"FAC/2025/2309",Yes,Gujarat,Banaskantha,Tharad,"Primary Health Center","Renesys Power Systems",HEALTH,1,0,1
"M M Halli A",6715551658,"FAC/2025/3561",Yes,Karnataka,Vijayanagara,Hosapet,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,1,0,1
Machi,8462447221,"FAC/2025/1676",No,Manipur,Tengnoupal,Machi,"Primary Health Center","SNL Energy Solutions",HEALTH,1,0,1
Machong,IN1110000208,"FAC/2025/2164",Yes,Sikkim,Pakyong,Parkha,"Primary Health Center",ERES,HEALTH,1,2,3
Madadakere,8615831883,"FAC/2025/4991",Yes,Karnataka,Chitradurga,Hosadurga,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,1,4,5
Madagiri,5377237440,"FAC/2025/5346",Yes,Karnataka,Raichur,Manvi,"Health and Wellness Center","Selco Solar Light Pvt Ltd",HEALTH,1,2,3
Madal,5733682685,"FAC/2025/2335",Yes,Gujarat,Banaskantha,Lakhani,"Primary Health Center","Renesys Power Systems",HEALTH,1,1,2
Madalgeri,3587683560,"FAC/2025/3844",Yes,Karnataka,Gadag,Ron,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,1,0,1
"Madanpur Rampur CHC",2223737889,"FAC/2025/3041",No,Odisha,Kalahandi,"Madanpur Rampur","Community Health Center","Balaji Solar Systems",HEALTH,1,2,3
Madarkhandi,5456786341,"FAC/2025/5865",Yes,Karnataka,Bagalkote,Jamakhandi,"Health and Wellness Center","Glow Power Technologies",HEALTH,1,0,1
"Madhupur SC",2864233776,"FAC/2025/3037",Yes,Odisha,Kalahandi,Lanjigarh,"Sub Center","Balaji Solar Systems",HEALTH,1,0,1
Madlagere,7643846251,"FAC/2025/3559",No,Karnataka,Vijayanagara,Harapanahalli,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,1,1,2
Madlur,7485813724,"FAC/2025/5186",Yes,Karnataka,Belagavi,Savadatti,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,1,2,3
Magala,5744386565,"FAC/2025/4630",Yes,Karnataka,Vijayanagar,Huvinahadagali,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,1,1,2
Magyankoppa,2910010951,"FAC/2025/3991",Yes,Karnataka,Belagavi,Khanapur,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,1,0,1
"Maite SC",4562488140,"FAC/2025/5729",No,Mizoram,Saitual,Phullen,"Sub Center","Krishna Power Solution",HEALTH,1,0,1
Majgaon,4877511487,"FAC/2025/0178",No,Assam,Bongaigaon,Dangtol,"State Dispensary","Kirloskar Solar Technology Pvt Ltd",HEALTH,1,0,1
"Makra Patkiguri",3466238585,"FAC/2025/0908",No,Assam,Chirang,Ballamguri,"Mini Primary Health Center","Kirloskar Solar Technology Pvt Ltd",HEALTH,1,5,6
Maktaigaon,7248322385,"FAC/2025/0741",No,Assam,Kokrajhar,Kachugaon,"Sub Center","Kirloskar Solar Technology Pvt Ltd",HEALTH,1,2,3
Maladkal,6883452242,"FAC/2025/5324",Yes,Karnataka,Raichur,Devadurga,"Health and Wellness Center","Selco Solar Light Pvt Ltd",HEALTH,1,3,4
"Malagitti PHC",1115817536,"FAC/2025/4731",Yes,Karnataka,Koppal,Kushtagi,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,1,3,4
Malahar,7347345634,"FAC/2025/4535",Yes,Karnataka,Yadgir,Yadgir,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,1,1,2
Malanji,5186547849,"FAC/2025/6176",No,Karnataka,"Uttara Kannada",Sirsi,"Health and Wellness Center","Glow Power Technologies",HEALTH,1,0,1
Malpangudi,1111318851,"FAC/2025/4646",Yes,Karnataka,Vijayanagar,Hospet,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,1,0,1
Malthan,8632873538,"FAC/2026/10630",No,Maharashtra,Pune,Shirur,"Sub Center","Selco Solar Light Pvt Ltd",HEALTH,1,0,1
Mamadapur,8727764139,"FAC/2025/5117",Yes,Karnataka,Belagavi,Gokak,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,1,3,4
"Mamte SC",MamteSC,"FAC/2025/2722",No,Mizoram,Lunglei,Lunglei,"Sub Center","Krishna Power Solution",HEALTH,1,2,3
Manaha,7711682885,"FAC/2025/0616",Yes,Assam,Marigaon,Mayang,"Mini Primary Health Center","Renesys Power Systems",HEALTH,1,0,1
Mandal,7321844644,"FAC/2025/3026",Yes,Odisha,Kalahandi,Kalampur,"Health and Wellness Center","Onergy Solar",HEALTH,1,1,2
Mandalgre,"mg-0468","FAC/2025/1181",No,Meghalaya,Eastgarohills,Samanda,"Health and Wellness Center",ERES,HEALTH,1,0,1
"Mandavagan Pharata",8358737610,"FAC/2026/10637",No,Maharashtra,Pune,Shirur,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,1,0,1
Mandeevala,8183542839,"FAC/2025/4788",No,Karnataka,Kalaburagi,Jevargi,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,1,0,1
"Mangalawada-Halyal",3427373679,"FAC/2025/4661",Yes,Karnataka,Uttarakannada,Halyal,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,1,2,3
Mangapura,6767854653,"FAC/2025/3555",No,Karnataka,Vijayanagara,Kudilgi,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,1,0,1
Manglay,IN1110000082,"FAC/2025/2233",Yes,Sikkim,Namchi,Tokelbermoik,"Health and Wellness Center",ERES,HEALTH,1,2,3
Mangsang,"mg-0479","FAC/2025/1170",No,Meghalaya,EastGaroHills,DamboRongjeng,"Primary Health Center",ERES,HEALTH,1,0,1
Mangsoli,4248364236,"FAC/2025/5096",Yes,Karnataka,Belagavi,Athani,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,1,1,2
Manhalli,8218816869,"FAC/2025/5057",Yes,Karnataka,Bidar,Bidar,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,1,1,2
"Maniram Vanzyang",IN1110000100,"FAC/2025/2231",Yes,Sikkim,Namchi,Namthang,"Health and Wellness Center",ERES,HEALTH,1,0,1
Manjjari,6733473547,"FAC/2025/3021",No,Odisha,Kalahandi,Golamunda,"Health and Wellness Center","Onergy Solar",HEALTH,1,1,2
Manki,2622565618,"FAC/2025/4711",Yes,Karnataka,Uttarakannada,Honnavar,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,1,2,3
Mannur,1165138551,"FAC/2025/4777",Yes,Karnataka,Kalaburagi,Afzalpur,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,1,3,4
Manthal,1211815343,"FAC/2025/5061",Yes,Karnataka,Bidar,Basavakalyan,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,1,0,1
Maraldinni,2853776827,"FAC/2025/5436",Yes,Karnataka,Raichur,Lingasugur,"Health and Wellness Center","Selco Solar Light Pvt Ltd",HEALTH,1,6,7
Maranjana,1713567111,"FAC/2025/0013",No,Assam,Kamrup,Rangia,"Sub Center",ERES,HEALTH,1,0,1
Maroda,6734546853,"FAC/2025/5612",No,Maharashtra,Chandrapur,Mul,"Primary Health Center","Kirloskar Solar Technology Pvt Ltd",HEALTH,1,3,4
Masabanchinal,2331112678,"FAC/2025/3647",Yes,Karnataka,Koppal,Yelburga,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,1,0,1
Masaguppi,5732484240,"FAC/2025/5137",No,Karnataka,Belagavi,Gokak,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,1,1,2
Masangpani,"mg-0123","FAC/2025/1519",No,Meghalaya,Westgarohills,Selsella,"Health and Wellness Center",ERES,HEALTH,1,1,2
Maski,4736237852,"FAC/2025/5434",No,Karnataka,Raichur,Lingasugur,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,1,3,4
Mathihalli,7346864312,"FAC/2025/4618",Yes,Karnataka,Vijayanagar,Harappanahalli,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,1,2,3
Mathura,7758463561,"FAC/2025/3019",Yes,Odisha,Kalahandi,Junagarh,"Sub Center","Onergy Solar",HEALTH,1,2,3
Mathura,6877381669,"FAC/2026/7978",Yes,Odisha,Kalahandi,Junagarh,"Ayurvedic Hospital","Onergy Solar",HEALTH,0,0,0
Mavinbhavi,6555122578,"FAC/2025/5264",Yes,Karnataka,Raichur,Lingasugur,"Health and Wellness Center","Selco Solar Light Pvt Ltd",HEALTH,1,2,3
Mawbsein,"mg-0427","FAC/2025/1221",No,Meghalaya,Ribhoi,Umsning,"Health and Wellness Center",ERES,HEALTH,1,2,3
Mawkdok,"mg-0346","FAC/2025/1298",Yes,Meghalaya,Eastkhasihills,Laitkroh,"Health and Wellness Center","LITS & LIGHTS",HEALTH,1,0,1
Mawlaisnai,"mg-0450","FAC/2025/1199",No,Meghalaya,Ribhoi,Umsning,"Primary Health Center",ERES,HEALTH,1,1,2
Mawlang,"mg-0429","FAC/2025/1219",No,Meghalaya,Ribhoi,Umsning,"Health and Wellness Center",ERES,HEALTH,1,0,1
Mawlein,"mg-0430","FAC/2025/1218",No,Meghalaya,Ribhoi,Umsning,"Health and Wellness Center",ERES,HEALTH,1,0,1
Mawlong,"mg-0488","FAC/2025/1161",No,Meghalaya,Eastkhasihills,"Shella Bholaganj","Primary Health Center",MANGAAL,HEALTH,1,1,2
Mawpyrshong,"mg-0205","FAC/2025/1439",No,Meghalaya,EastKhasiHills,Mawryngkneng,"Health and Wellness Center",ERES,HEALTH,1,0,1
Mawsyrpat,"mg-0419","FAC/2025/1229",Yes,Meghalaya,Westkhasihills,Mawshynrut,"Health and Wellness Center",ERES,HEALTH,1,0,1
Mawtari,"mg-0333","FAC/2025/1311",Yes,Meghalaya,RiBhoi,Umsning,"Health and Wellness Center",ERES,HEALTH,1,0,1
Mawthawpdah,"mg-0183","FAC/2025/1461",No,Meghalaya,Southwestkhasihills,Mawkyrwat,"Primary Health Center",ERES,HEALTH,1,0,1
Maynaguri,7722764649,"FAC/2025/0780",No,Assam,Kokrajhar,Dotoma,"Sub Center","Kirloskar Solar Technology Pvt Ltd",HEALTH,1,2,3
"Medikinal PHC",1416626123,"FAC/2025/5429",Yes,Karnataka,Raichur,Lingasugur,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,1,0,1
Medinipur,6813385777,"FAC/2025/3017",Yes,Odisha,Kalahandi,Bhawanipatna,"Sub Center","Onergy Solar",HEALTH,1,2,3
Meerapur,3522313554,"FAC/2025/5382",No,Karnataka,Raichur,Raichur,"Health and Wellness Center","Selco Solar Light Pvt Ltd",HEALTH,1,1,2
Meghapal,1111353684,"FAC/2025/3016",No,Odisha,Sambalpur,Jujumura,"Primary Health Center","SunPay Solar",HEALTH,1,0,1
Melavanki,4188218376,"FAC/2025/5138",Yes,Karnataka,Belagavi,Gokak,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,1,3,4
"Melli Dara HWC",IN1110000163,"FAC/2025/2116",Yes,Sikkim,Namchi,Sumbuk,"Health and Wellness Center",ERES,HEALTH,1,0,1
"Melli Dara PHC",IN1110000168,"FAC/2025/2262",Yes,Sikkim,Namchisouth,Melli,"Primary Health Center",ERES,HEALTH,1,1,2
"Mellim PHC","mg-0178","FAC/2025/1466",No,Meghalaya,Southwestgarohills,Betasing,"Primary Health Center",MANGAAL,HEALTH,1,1,2
Melukote,1445728866,"FAC/2025/4195",Yes,Karnataka,Mandya,Maddur,"Primary Health Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,1,0,1
Miriyana,4345134482,"FAC/2025/4814",Yes,Karnataka,Kalaburagi,Chincholi,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,1,3,4
Mochibahal,1211256779,"FAC/2025/3013",Yes,Odisha,Sambalpur,Dhankauda,"Health and Wellness Center","SunPay Solar",HEALTH,1,0,1
"Mogha-Chincholi PHC",1115732578,"FAC/2025/4812",Yes,Karnataka,Kalaburagi,Chincholi,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,1,1,2
Mohanpur,1828128783,"FAC/2025/1075",No,Assam,Udalguri,Udalguri,"Sub Center",ERES,HEALTH,1,0,1
"Mohgorh Phuloguri",2271838688,"FAC/2025/0567",Yes,Assam,Nagaon,Raha,"Primary Health Center","Renesys Power Systems",HEALTH,1,2,3
